截止时间,确诊数,疑似数,治愈数,死亡数,新增疑似,密切接触
2020/1/10,41,0,2,1,0,739
2020/1/11,41,0,6,1,0,763
2020/1/12,41,0,7,1,0,763
2020/1/13,41,0,7,1,0,763
2020/1/14,41,0,7,1,0,763
2020/1/15,41,0,7,1,0,763
2020/1/16,41,0,12,2,0,763
2020/1/17,41,0,13,2,0,763
2020/1/18,45,0,15,2,0,763
2020/1/19,62,0,19,2,0,763
2020/1/20,198,0,25,4,0,817
2020/1/21,291,54,25,6,27,1739
2020/1/22,440,167,27,8,26,2197
2020/1/23,571,393,31,17,257,5897
2020/1/24,830,1072,34,25,680,9507
2020/1/25,1287,1965,38,41,444,15197
2020/1/26,1975,2684,49,56,1309,23431
2020/1/27,2744,5794,51,80,3806,32799
2020/1/28,4515,6973,60,106,2077,47833
2020/1/29,5974,9239,103,132,3248,65537
2020/1/30,7711,12167,124,170,4148,88693
2020/1/31,9692,15238,171,213,4812,113579
2020/2/1,11791,17988,243,259,5019,136987
2020/2/2,14380,19544,328,304,4562,163844
2020/2/3,17205,21558,475,361,5173,189583
2020/2/4,20438,23214,632,426,5072,221015
2020/2/5,24324,23260,892,490,3971,252154
2020/2/6,28018,24702,1153,563,5328,282813
2020/2/7,31161,26359,1540,636,4833,314028
2020/2/8,34546,27657,2050,722,4214,345498
